type,station_name,longitude,latitude,n_obs,deviance,p_intercept,p_ishour_1,p_ishour_2,p_ishour_3,p_ishour_4,p_ishour_5,p_ishour_6,p_ishour_7,p_ishour_8,p_ishour_9,p_ishour_10,p_ishour_11,p_ishour_12,p_ishour_13,p_ishour_14,p_ishour_15,p_ishour_16,p_ishour_17,p_ishour_18,p_ishour_19,p_ishour_20,p_ishour_21,p_ishour_22,p_ishour_23,p_isweekday_1,p_isweekday_2,p_isweekday_3,p_isweekday_4,p_isweekday_5,p_isweekday_6,p_avgtemp,p_avgtempsqr
arrivals,1-Ave-and-E-15-St,-73.98165557,40.73221853,664506,328401.500018,-5.99419617116,-0.355440404311,-0.610640651649,-0.845846571254,-1.01956548246,-0.954126244776,-0.261604512777,0.272426842502,0.546013938788,0.423054857182,0.507188618568,0.532376426167,0.602224765879,0.716640640216,0.693891932923,0.735809899625,0.909874818911,1.39710893521,1.57351802579,1.29525159206,0.965632148784,0.730959265196,0.563884962193,0.315759123488,0.00156785701306,0.0313554134163,-0.00153720659951,0.0134574972678,-0.0679609015633,-0.0726989811596,0.127779472982,-0.00116931683348
arrivals,1-Ave-and-E-18-St,-73.98024289,40.73416059,598219,211239.256218,-5.2376882882,-0.324224912254,-0.432925631438,-0.852783757792,-0.971397180706,-0.834701506594,-0.374848882235,0.583592735925,0.477189692921,0.325283088817,0.483396707158,0.623385260724,0.696614001721,0.815428179628,0.95237295583,0.955998559849,1.21619281481,1.64953259157,1.85157612235,1.42988763954,1.06483341721,0.701934682229,0.490565628213,0.286682598996,-0.00245032573265,0.0135185092372,0.0172641192988,0.098862526035,-0.0304771708181,0.00170183240618,0.063009460492,-0.000491741288883
arrivals,1-Ave-and-E-30-St,-73.97536082,40.74144387,664506,250416.214483,-6.83622512079,-0.738995561923,-0.904931986946,-1.62953189775,-1.43901459305,-0.0990355250487,1.58061252546,1.21284793229,1.45661893696,1.52188376413,1.11018570691,0.915251865196,0.984795860448,1.00631343725,0.94634827579,1.07024092349,1.0606289757,1.21975946114,1.33846576333,1.28775228269,0.915215119221,0.851485743042,0.648789862716,0.504375817486,0.117609356331,0.11125517574,0.059071733584,0.104015179534,-0.260207952272,-0.214092687269,0.131805277769,-0.00120706651554
arrivals,1-Ave-and-E-44-St,-73.96905301,40.75001986,661587,201796.69504,-6.39607562424,-0.369207282539,-0.538859852565,-0.884539164219,-1.03807931414,-0.527267038421,1.47318366197,1.27702208956,2.25186972484,1.96463771132,1.04118540962,0.795589746932,0.962353253873,1.14208207489,1.31250127749,1.06985145166,1.08451750744,1.11755726805,1.24067216751,1.00394153709,0.826163367822,0.681497888029,0.539464915983,0.242777435356,0.110964114697,0.16062044849,0.117254394999,0.122289797696,-0.323582650833,-0.314645865999,0.0932863636029,-0.000816866444733
arrivals,10-Ave-and-W-28-St,-74.00176802,40.75066386,664506,251860.072176,-6.02120992998,-0.436708611239,-0.913887666066,-1.38917867148,-1.68353005478,-1.24510238064,-0.385531633137,-0.102935609916,0.603057081712,1.43281795722,1.10596374834,0.674926649592,0.600038605039,0.601748822787,0.744043578229,0.795470726012,0.78272600176,1.03445741382,1.16859582504,1.04614004395,0.917194933395,0.510163477462,0.377667275096,0.294047414693,0.0652884109761,0.0942607279511,0.0492225638576,0.10093442941,-0.166112996764,-0.0514665351107,0.103118541813,-0.000863777257943
arrivals,10-Grand-Army-Plaza,,,617,220.227106334,-1.53697837497e-06,9.69541880258,9.43778907519,10.6164440715,10.5534957972,10.3885659831,10.1141291374,8.74464189463,1.07085007528e-10,1.07248432357e-10,1.07056585819e-10,1.06978426118e-10,-8.14689421081e-05,-0.00431638047955
arrivals,11-Av-and-59-St,,,45570,18732.6759168,-0.0036318185473,-0.355059928774,-1.32608030746,-2.3937474524,-1.67318893162,-1.47924644287,0.18392739467,0.635847270365,1.40463134475,1.44260695362,1.57531678122,1.78727255785,1.97580265224,2.18499258282,2.15013829911,2.21663391134,2.3153416476,2.65535455066,2.49464672136,2.12526372012,1.57629980822,1.29958805508,0.843388766416,0.585326290522,0.199192021112,0.367071784836,0.343388332424,0.208509343042,0.549329368166,0.573459909726,-0.118762726825,0.000793442659684
arrivals,11-Ave-and-W-27-St,-74.005226,40.751396,139783,44905.765695,-6.76344584628,-0.404344990934,0.0784207682257,-0.585513057793,-0.704237860099,0.910429399406,1.6409795195,1.58066033248,2.15343066141,1.70575342365,1.39789690434,1.43653635065,1.71423934097,1.69281868361,1.83639536547,1.73450440232,1.65693638462,1.37763906644,1.49425237518,1.047871444,0.984313557035,0.528171633257,0.555805815134,0.129808135927,-0.00251058640078,0.0991427187863,0.034614723986,0.0190069659386,-0.147355042951,-0.268910586073,0.119289261973,-0.00116863031356
arrivals,11-Ave-and-W-41-St,-73.99884222,40.76030096,664507,266680.562896,-5.58531941193,-0.2652810902,-0.31099952247,-0.487092077554,-0.476889646139,-0.251141578931,-0.0767356546833,0.28346249009,0.211560831379,0.26614337331,0.247604858508,0.552616874035,0.650168480954,0.651226864998,0.725137070514,0.916085848559,1.0326735067,1.44861037618,1.62148033532,1.27722634614,1.00596273045,0.670203420458,0.497162703643,0.251688835127,0.0174211404069,0.0181129083675,0.0401093788537,0.100172842447,0.0519757780529,-0.00569074290857,0.0923880577754,-0.000820165280961
arrivals,11-Ave-and-W-59-St,,,372199,159761.553692,-9.40392575746,-0.38993956252,-0.520179682635,-0.613570994275,-1.49198789344,-0.886597267581,1.0624021242,0.829437508779,1.40394006402,1.56383624855,1.5455786783,1.52553903307,1.6900623728,1.77456976197,1.96751479936,1.96046306642,2.16645135753,2.50058783141,2.64790443017,1.97834896311,1.47874059291,1.11471147608,0.74738900886,0.315560929075,0.0574904160971,0.0582324512497,-0.0348697398467,-0.00110404811243,0.0455539349526,0.0771471794447,0.189734892083,-0.00159976041424
